id,name,genus
Ecymbalariae,E. cymbalariae,Eremothecium
Egossypii,E. gossypii,Eremothecium
Klactis,K. lactis,Kluyveromyces
Lkluyveri,L. kluyveri,Lachancea
Lthermotolerans,L. thermotolerans,Lachancea
Lwaltii,L. waltii,Lachancea
Tdelbrueckii,T. delbrueckii,Torulaspora
Zrouxii,Z. rouxii,Zygosaccharomyces
dere,D. erecta,Drosophila
dana,D. ananassae,Drosophila
dsim,D. simulans,Drosophila
dper,D. persimilis,Drosophila
dpse,D. pseudoobscura,Drosophila
dmel,D. melanogaster,Drosophila
dyak,D. yakuba,Drosophila
dsec,D. sechellia,Drosophila
Hsapi,H. sapiens,Homo
Ptrog,P. troglodytes,Pan
Pabel,P. abelii,Pongo
Nleuc,N. leucogenys,Nomascus
Mmula,M. mulatta,Macaca
Panub,P. anubis,Papio
Csaba,C. sabaeus,Chlorocebus
Cjacc,C. jacchus,Callithrix
Csyri,C. syrichta,Carlito
Mmuri,M. murinus,Microcebus
Pcoqu,P. coquereli,Propithecus
Ogarn,O. garnettii,Otolemur
