HOG	OG	Gene Tree Parent Clade	Scerevisiae	Ndairenensis	Smikatae	Skudriavzevii	Tblattae	Suvarum	Tphaffii	Tdelbrueckii	Zrouxii	Vpolyspora	Ecymbalariae	Cglabrata	Kafricana	Egossypii	Knaganishii	Klactis	Lthermotolerans	Lkluyveri	Ncastellii	Lwaltii
N0.HOG0000000	OG0000000	n0											Ecym_1317, Ecym_1319			AFL204C, AFL207C, AFL205C						
N0.HOG0000001	OG0000000	n7	YFL011W, YMR011W	NDAI0G04470	Smik_6.68, Smik_13.171	Skud_6.61, Skud_13.163		Suva_13.174	TPHA0N01930, TPHA0H03110	TDEL0A04250	ZYRO0D13310g	Kpol_1057.20, Kpol_1049.20		CAGL0I00286g, CAGL0D02662g, CAGL0D02640g	KAFR0C03750				KLTH0C00462g	SAKL0G19844g	NCAS0E03210, NCAS0A08630	Kwal_14.854
N0.HOG0000002	OG0000000	n29																KLLA0D13310g	KLTH0E02750g	SAKL0G07656g		
N0.HOG0000003	OG0000000	n128																	KLTH0E02772g			Kwal_55.20075
N0.HOG0000004	OG0000000	n59	YJL219W, YOL156W, YIL170W							TDEL0E02300, TDEL0E02310	ZYRO0A06688g								KLTH0B00330g			
N0.HOG0000005	OG0000000	n65	YDR343C, YDR342C, YHR092C	NDAI0D00820, NDAI0F01930, NDAI0F01940, NDAI0K02970, NDAI0G06310, NDAI0D05010, NDAI0D05020, NDAI0C04560, NDAI0C01750	Smik_4.606, Smik_4.607, Smik_8.170	Skud_8.153	TBLA0F01600, TBLA0E01970, TBLA0J00100, TBLA0B04810, TBLA0A04910, TBLA0A03480, TBLA0D05800, TBLA0B10150, TBLA0D05810, TBLA0A03450, TBLA0A03400, TBLA0A03430, TBLA0A03420, TBLA0A03410, TBLA0A03440, TBLA0A01250, TBLA0A01240, TBLA0A03390, TBLA0B00840, TBLA0A03700, TBLA0A03500, TBLA0A03460, TBLA0A03470	Suva_2.512, Suva_15.287			ZYRO0G00286g			CAGL0A02233g, CAGL0A02211g, CAGL0A00737g, CAGL0A01782g	KAFR0F02800, KAFR0F04080, KAFR0E02030, KAFR0D00740, KAFR0D00750, KAFR0A05550		KNAG0B06940, KNAG0I00110, KNAG0E04270, KNAG0D05370, KNAG0M02690, KNAG0C05230, KNAG0C05250, KNAG0C05190				NCAS0E00160, NCAS0I03160, NCAS0F03100, NCAS0H01880	
N0.HOG0000006	OG0000000	n33		NDAI0C04570			TBLA0A03510					Kpol_1059.39		CAGL0A02321g, CAGL0A01804g	KAFR0E04120		KNAG0B04370, KNAG0C05180				NCAS0F03110	
N0.HOG0000007	OG0000000	n48	YHR096C	NDAI0C01740	Smik_8.173	Skud_8.157		Suva_15.291	TPHA0H01570	TDEL0E02280		Kpol_365.10		CAGL0A01826g							NCAS0H01890	
N0.HOG0000008	OG0000000	n131	YJL214W		Smik_10.8, Smik_6.20, Smik_25.4															SAKL0C00154g, SAKL0C02134g		
N0.HOG0000009	OG0000000	n136	YLR081W	NDAI0B03060	Smik_12.140			Suva_10.165, Suva_10.164	TPHA0P00120	TDEL0E00200					KAFR0D00790, KAFR0D00780, KAFR0D00800, KAFR0G00160, KAFR0C00180, KAFR0D00760					SAKL0B12540g, SAKL0G07678g	NCAS0J00170	
N0.HOG0000010	OG0000000	n40	YHR094C		Smik_8.172			Suva_15.290		TDEL0E02290												
N0.HOG0000011	OG0000000	n43	YDR345C		Smik_4.609			Suva_2.516														
N0.HOG0000012	OG0000001	n0	YDR366C		Smik_15.524, Smik_15.529, Smik_13.112, Smik_7.311, Smik_14.386, Smik_6.213, Smik_10.266, Smik_10.35, Smik_11.109, Smik_10.124, Smik_9.102, Smik_12.308, Smik_7.177, Smik_3.109, Smik_7.154, Smik_11.216, Smik_4.181, Smik_13.104, Smik_5.114, Smik_4.693, Smik_4.329, Smik_12.178, Smik_13.365, Smik_6.244, Smik_1.87, Smik_4.210, Smik_16.239, Smik_12.508, Smik_12.412, Smik_10.261, Smik_7.186, Smik_4.571, Smik_11.2, Smik_6.120, Smik_4.416, Smik_6.119, Smik_6.121, Smik_5.355, Smik_3.92, Smik_10.234, Smik_15.181, Smik_12.351, Smik_8.77, Smik_5.327, Smik_11.265, Smik_5.281, Smik_4.614, Smik_16.368, Smik_16.431, Smik_10.271, Smik_11.175, Smik_10.203, Smik_10.331, Smik_4.692, Smik_5.128, Smik_8.228, Smik_6.122, Smik_6.285, Smik_4.820, Smik_7.112, Smik_6.95, Smik_12.380, Smik_10.318, Smik_3.89, Smik_3.128, Smik_11.219, Smik_12.330, Smik_7.329, Smik_6.239, Smik_8.265, Smik_13.111, Smik_10.230, Smik_12.31, Smik_16.367, Smik_6.464, Smik_15.264, Smik_13.310, Smik_6.90, Smik_27.5, Smik_3.161, Smik_12.318, Smik_10.209, Smik_6.173, Smik_4.342, Smik_6.174, Smik_15.45, Smik_6.198, Smik_5.356, Smik_10.262, Smik_11.83, Smik_12.177, Smik_11.122, Smik_4.615, Smik_11.26, Smik_1.61, Smik_5.2, Smik_16.392, Smik_6.243, Smik_16.117, Smik_13.227, Smik_5.361, Smik_10.204, Smik_4.527, Smik_5.97, Smik_5.214, Smik_10.273, Smik_10.263, Smik_6.209, Smik_16.313, Smik_7.340, Smik_5.291, Smik_16.413, Smik_15.50, Smik_9.162, Smik_16.270, Smik_12.520, Smik_12.563, Smik_27.3			Suva_5.55												SAKL0E04686g		
N0.HOG0000013	OG0000002	n71							TPHA0A02840													
N0.HOG0000014	OG0000002	n2	YKL163W, YKL164C	NDAI0A01000, NDAI0B00190, NDAI0A00990	Smik_11.72, Smik_11.71, Smik_11.70	Skud_11.63, Skud_11.62	TBLA0B07280, TBLA0C05850	Suva_11.62, Suva_11.60	TPHA0A02830, TPHA0A02820, TPHA0E03280, TPHA0E03290, TPHA0E03270	TDEL0C03660, TDEL0C03650		Kpol_2001.22, Kpol_2002.77		CAGL0M08492g, CAGL0I06182g, CAGL0I06204g	KAFR0G00520, KAFR0G00510		KNAG0C01090, KNAG0C01100, KNAG0C02460, KNAG0C02470			SAKL0C05544g, SAKL0C05566g	NCAS0I02810, NCAS0B08240, NCAS0B08250	
N0.HOG0000015	OG0000002	n38	YJL159W, YJL160C	NDAI0B00180	Smik_10.74, Smik_10.73, Smik_10.72	Skud_10.56, Skud_10.57, Skud_10.55	TBLA0B00410, TBLA0D00150, TBLA0A04270, TBLA0I01410, TBLA0G01080, TBLA0A00870, TBLA0H03100, TBLA0A01190, TBLA0H03080, TBLA0H02860, TBLA0F00670, TBLA0J01310, TBLA0C05860	Suva_6.238, Suva_6.240				Kpol_2002.76	Ecym_5176, Ecym_5166, Ecym_5165			AEL103W, AEL111C, AEL110W		KLLA0B07447g, KLLA0B07392g, KLLA0B07370g				
N0.HOG0000016	OG0000002	n73										Kpol_2001.23			KAFR0G00530, KAFR0F01820				KLTH0F05060g, KLTH0F05016g, KLTH0F04994g	SAKL0C05676g		Kwal_33.13881, Kwal_33.13867, Kwal_33.13869
N0.HOG0000017	OG0000002	n83	YJL158C	NDAI0B00170	Smik_11.73, Smik_10.75	Skud_11.65, Skud_11.64, Skud_10.58	TBLA0C05880	Suva_11.63, Suva_6.237		TDEL0C03640		Kpol_2002.78		CAGL0I06160g	KAFR0F01830		KNAG0C01110, KNAG0C02480				NCAS0I02800	
N0.HOG0000018	OG0000002	n99					TBLA0A06230				ZYRO0G18326g, ZYRO0G18304g	Kpol_2001.21		CAGL0M08514g							NCAS0I02820	
N0.HOG0000019	OG0000003	n0	YFL020C, YBL108C-A, YJR150C, YJR151C, YKL224C, YIR041W, YMR325W, YCR104W, YPL282C, YOR394W, YLR037C, YLL025W, YGL261C, YAL068C, YDR542W, YHL046C, YJL223C, YIL176C, YGR294W, YBR301W, YEL049W, YLL064C, YNR076W, YLR461W, YOL161C, YAR020C	NDAI0A08910, NDAI0A07890	Smik_5.135, Smik_12.100, Smik_5.136, Smik_3.194, Smik_6.58, Smik_17.13, Smik_1.80, Smik_3.7, Smik_12.39, Smik_12.560, Smik_3.202, Smik_17.12, Smik_10.445, Smik_10.12, Smik_5.360, Smik_5.10, Smik_16.460, Smik_2.6, Smik_14.411, Smik_5.44, Smik_17.5, Smik_19.2, Smik_16.9	Skud_7.644, Skud_74.1, Skud_12.43, Skud_7.645, Skud_10.376, Skud_10.379, Skud_12.104, Skud_7.45, Skud_12.556, Skud_3.170, Skud_5.2, Skud_5.41, Skud_6.51, Skud_1.71, Skud_14.3, Skud_3.174	TBLA0H00500, TBLA0J01850, TBLA0G00500, TBLA0J01800, TBLA0J01845, TBLA0A01120	Suva_10.48, Suva_5.21, Suva_12.243, Suva_12.247, Suva_12.248, Suva_7.36, Suva_5.106, Suva_7.585, Suva_1.96, Suva_1.88, Suva_14.413, Suva_6.39	TPHA0C05010					CAGL0C00209g, CAGL0E00187g, CAGL0G10175g			KNAG0E01130, KNAG0M00110				NCAS0B00350, NCAS0E02100, NCAS0B00460, NCAS0B00470	
N0.HOG0000020	OG0000004	n0					TBLA0E04360															
N0.HOG0000021	OG0000004	n2						Suva_2.721, Suva_9.15		TDEL0D00660, TDEL0F02400, TDEL0B03200, TDEL0A01190, TDEL0A01180, TDEL0A06960, TDEL0A06970	ZYRO0E00440g, ZYRO0C18590g, ZYRO0F18700g, ZYRO0D00352g, ZYRO0E00330g, ZYRO0A13816g, ZYRO0E00132g, ZYRO0A00220g, ZYRO0D00154g, ZYRO0C00242g, ZYRO0B00154g, ZYRO0D00242g, ZYRO0A13948g								KLTH0D00374g, KLTH0G19580g			Kwal_26.7673, Kwal_26.7243
N0.HOG0000022	OG0000004	n27	YHL042W, YCR102W-A, YHL043W, YGL263W, YKL219W, YNL336W, YFL062W, YBR302C, YML132W, YDL248W, YJR161C, YGR295C, YHL048W, YIR043C, YNR075W, YIR044C		Smik_17.7, Smik_16.8, Smik_9.247, Smik_17.9, Smik_17.6, Smik_9.249, Smik_16.7, Smik_9.248, Smik_17.8, Smik_16.6, Smik_3.4, Smik_18.5, Smik_16.462, Smik_9.252, Smik_11.1	Skud_5.328, Skud_8.1, Skud_107.1, Skud_53.1, Skud_64.1, Skud_11.1, Skud_55.1, Skud_66.1, Skud_12.1		Suva_16.528, Suva_2.719, Suva_16.16, Suva_14.9, Suva_16.527, Suva_14.8, Suva_9.16, Suva_55.2, Suva_14.6, Suva_2.722, Suva_16.529, Suva_14.7, Suva_12.273		TDEL0D00130									KLTH0B10252g, KLTH0B10230g, KLTH0D00242g, KLTH0B10274g, KLTH0A00264g, KLTH0B06710g, KLTH0B06688g	SAKL0D15290g, SAKL0D01254g, SAKL0D15312g		Kwal_26.9043, Kwal_27.10096, Kwal_26.9047
N0.HOG0000023	OG0000005	n0	YER138W-A, YBL107W-A		Smik_5.68, Smik_8.74, Smik_7.183, Smik_6.172, Smik_5.303, Smik_13.189, Smik_14.284, Smik_6.217, Smik_7.245, Smik_3.64, Smik_3.61, Smik_8.144, Smik_13.358, Smik_4.664, Smik_12.517, Smik_9.243, Smik_8.266, Smik_16.177, Smik_12.288, Smik_3.113, Smik_14.229, Smik_4.331, Smik_6.382, Smik_10.208, Smik_7.228, Smik_12.33, Smik_7.37, Smik_6.78, Smik_13.449, Smik_10.341, Smik_15.357, Smik_4.788, Smik_4.417, Smik_9.250, Smik_16.350, Smik_4.721, Smik_11.37, Smik_16.240, Smik_12.385, Smik_12.317, Smik_10.390, Smik_10.200, Smik_15.310, Smik_2.165, Smik_21.11, Smik_3.162, Smik_6.309, Smik_2.105, Smik_6.378, Smik_1.73, Smik_8.58, Smik_12.167, Smik_5.293, Smik_2.182, Smik_13.172, Smik_10.212, Smik_11.67, Smik_3.108, Smik_5.295, Smik_13.294, Smik_13.498, Smik_5.11, Smik_14.294, Smik_16.416, Smik_15.266, Smik_3.57, Smik_4.601, Smik_5.41, Smik_6.297, Smik_5.102, Smik_7.156, Smik_8.146, Smik_9.92, Smik_10.339, Smik_10.345, Smik_11.287, Smik_12.349, Smik_13.221, Smik_17.17, Smik_15.44, Smik_15.107, Smik_13.311, Smik_7.230, Smik_8.36, Smik_8.60, Smik_11.285, Smik_15.361	Skud_4.721																
N0.HOG0000024	OG0000006	n0	YHL044W, YAR029W, YAR031W, YGL053W, YGL051W, YAR033W, YCR007C, YAR027W, YAR028W, YAR023C	NDAI0G02310, NDAI0F04550, NDAI0F04400, NDAI0G01470, NDAI0G02270	Smik_16.5, Smik_1.94, Smik_18.2, Smik_1.104, Smik_1.88, Smik_1.90, Smik_1.102, Smik_9.244, Smik_1.98, Smik_1.105, Smik_1.89, Smik_1.101, Smik_13.228, Smik_3.91, Smik_1.91, Smik_4.183, Smik_1.92, Smik_1.100, Smik_1.93, Smik_9.245	Skud_14.389, Skud_1.84, Skud_67.1, Skud_67.2, Skud_13.8, Skud_19.5, Skud_69.1, Skud_1.85, Skud_1.81, Skud_1.78, Skud_1.80, Skud_1.79, Skud_1.86, Skud_1.88, Skud_1.87, Skud_13.255, Skud_3.88, Skud_3.71, Skud_41.1, Skud_1.82	TBLA0B05730, TBLA0E01640, TBLA0E04350	Suva_13.9, Suva_1.94, Suva_1.92, Suva_3.31, Suva_1.95, Suva_1.78, Suva_8.398, Suva_1.79, Suva_1.100, Suva_13.219, Suva_1.97, Suva_13.220, Suva_3.29, Suva_1.77, Suva_1.93							KAFR0H03780, KAFR0C00130, KAFR0B03990		KNAG0C05530, KNAG0G03450	KLLA0A11957g, KLLA0C19063g	KLTH0B10296g, KLTH0C00264g		NCAS0I00840, NCAS0I00280, NCAS0C03030, NCAS0H00970, NCAS0A10610	Kwal_49.19404, Kwal_56.22593
N0.HOG0000025	OG0000007	n1									ZYRO0F00176g											
N0.HOG0000026	OG0000007	n69	YKR102W, YAL063C, YHR211W, YAR050W, YHR213W, YAR062W, YAL064C-A		Smik_11.366, Smik_1.111, Smik_1.2, Smik_8.301	Skud_11.342, Skud_26.1		Suva_11.340, Suva_1.3, Suva_1.111														
N0.HOG0000027	OG0000007	n3	YFL051C		Smik_6.25, Smik_5.362	Skud_6.18		Suva_10.17, Suva_6.2														
N0.HOG0000028	OG0000007	n61								TDEL0F00190		Kpol_1050.117					KNAG0K00130, KNAG0K00780, KNAG0E04280, KNAG0I00100, KNAG0K00770			SAKL0C09130g, SAKL0G19910g		
N0.HOG0000029	OG0000007	n53																		SAKL0E15378g, SAKL0E00528g		
N0.HOG0000030	OG0000007	n11		NDAI0G01120																	NCAS0F02360, NCAS0F02550, NCAS0F02540, NCAS0A00140, NCAS0F02620	
N0.HOG0000031	OG0000007	n52																			NCAS0F02610	
N0.HOG0000032	OG0000007	n19								TDEL0G04820, TDEL0G04990		Kpol_1058.5	Ecym_2201, Ecym_2200	CAGL0C00847g, CAGL0E06688g, CAGL0I00220g, CAGL0E00275g, CAGL0C00110g, CAGL0E06644g, CAGL0J11968g, CAGL0M00132g, CAGL0E06666g, CAGL0A01284g		AFL095W, AFL092C		KLLA0B00308g, KLLA0C19316g, KLLA0E14543g, KLLA0D00264g, KLLA0A11935g, KLLA0B14916g	KLTH0D17050g	SAKL0A02200g, SAKL0H00176g		Kwal_28.12868, Kwal_27.9651, Kwal_47.16790
N0.HOG0000033	OG0000007	n47							TPHA0P00110			Kpol_1058.4							KLTH0D18194g, KLTH0E00242g			Kwal_55.19514, Kwal_27.12846
N0.HOG0000034	OG0000008	n0																KLLA0A09075g	KLTH0G01584g, KLTH0E07920g, KLTH0E07898g	SAKL0H22044g, SAKL0C00396g		Kwal_47.16561
N0.HOG0000035	OG0000008	n8	YPL171C, YHR179W		Smik_8.263	Skud_8.243	TBLA0D00160, TBLA0G03670, TBLA0C07300, TBLA0I03570, TBLA0A10550, TBLA0G00610	Suva_16.139, Suva_15.379	TPHA0A02230			Kpol_1054.16, Kpol_534.36, Kpol_1018.121		CAGL0K10890g, CAGL0I02024g, CAGL0I02574g								
N0.HOG0000036	OG0000008	n39		NDAI0A00330, NDAI0E00850, NDAI0E01890						TDEL0E00270												
N0.HOG0000037	OG0000008	n20		NDAI0B00920													KNAG0G03460				NCAS0E03890	
N0.HOG0000038	OG0000008	n22		NDAI0C03460, NDAI0C04500, NDAI0A07930, NDAI0A08130						TDEL0G00820					KAFR0E02340		KNAG0E00790				NCAS0D01280, NCAS0C02260, NCAS0J01750	
N0.HOG0000039	OG0000008	n44					TBLA0D03290, TBLA0E03220, TBLA0C01370, TBLA0J00530															
N0.HOG0000040	OG0000008	n48													KAFR0F03530, KAFR0B07070, KAFR0F03550, KAFR0F03540		KNAG0D03170, KNAG0L00690, KNAG0B05410					
N0.HOG0000041	OG0000008	n54														AGR329C						
N0.HOG0000042	OG0000008	n56																			NCAS0C04110, NCAS0B00730, NCAS0B01090	
N0.HOG0000043	OG0000008	n59					TBLA0B02130		TPHA0P01030			Kpol_370.4, Kpol_370.3					KNAG0J00330					
N0.HOG0000044	OG0000008	n77					TBLA0E00660		TPHA0H02440					CAGL0L09537g								
